date,in-o2,1-valve,in-nox,out-nox
2025/7/10 0:00,7.27496645,48.4227915,353.29338,41.939255
2025/7/10 0:00,7.43617055,48.19509,353.35342,42.14573
2025/7/10 0:00,7.61307835,48.3884415,351.13098,42.701336
2025/7/10 0:00,7.75072775,48.250055,351.16099,42.990395
2025/7/10 0:01,7.8260546,48.4100325,351.13098,43.17811
2025/7/10 0:01,7.9580607,48.2314065,329.867965,43.3057385
2025/7/10 0:01,8.41541975,42.7077655,277.491135,43.440887
2025/7/10 0:01,8.4166465,39.053802,272.38556,43.508465
2025/7/10 0:02,8.386957,39.057728,272.38556,43.440887
2025/7/10 0:02,8.31408425,39.411055,280.49435,43.3995895
2025/7/10 0:02,8.19925375,39.082266,293.078065,34.9566785
2025/7/10 0:02,8.1055245,38.180305,304.3703,34.6901455
2025/7/10 0:03,8.00149,39.694695,316.623565,34.573772
2025/7/10 0:03,7.83047125,41.07266,329.20718,34.821535
2025/7/10 0:03,7.55001995,42.233723,340.6196,36.097917
2025/7/10 0:03,7.3370435,43.462507,345.36472,36.7361145
2025/7/10 0:04,7.18369105,46.0437375,347.5271,37.49819
2025/7/10 0:04,7.10075805,46.4559515,351.191,37.956184
2025/7/10 0:04,7.0727863,46.75824,351.191,39.026095
2025/7/10 0:04,7.08775355,48.321701,351.13098,39.739372
2025/7/10 0:05,7.1834458,48.2569235,352.2122,40.321251
2025/7/10 0:05,7.26613355,48.5228995,355.03526,40.62158
2025/7/10 0:05,7.3421962,52.253418,357.9184,47.326355
2025/7/10 0:05,7.399121,54.381216,362.5434,47.014762
2025/7/10 0:06,7.4177685,52.4026,365.576645,46.988485
2025/7/10 0:06,7.4177685,55.5864445,369.571,47.330109
2025/7/10 0:06,7.4170325,55.6561285,370.532,48.163512
2025/7/10 0:06,7.3996115,55.852419,371.703275,48.906817
2025/7/10 0:07,7.3618255,55.5403155,371.7333,49.1883755
2025/7/10 0:07,7.370904,55.994732,371.79346,49.41737
2025/7/10 0:07,7.4501567,55.5285395,370.56208,49.6613865
2025/7/10 0:07,7.49186865,56.4255905,375.21716,49.87161
2025/7/10 0:08,7.4040283,56.2921105,378.67088,50.0405425
2025/7/10 0:08,7.2310465,58.799735,380.9233,50.1193825
2025/7/10 0:08,7.077939,59.531902,380.86325,50.190704
2025/7/10 0:08,6.9876449,60.456432,376.29828,50.213234
2025/7/10 0:09,6.9832285,60.20322,375.097,50.2395155
2025/7/10 0:09,7.05021285,60.088387,371.79346,50.29582
2025/7/10 0:09,7.1594,60.136479,375.12702,50.325855
2025/7/10 0:09,7.23668985,60.16494,376.29828,50.3709
2025/7/10 0:10,7.3031833,60.4780235,376.29828,50.400936
2025/7/10 0:10,7.3799825,60.427971,376.23825,50.423462
2025/7/10 0:10,7.4457397,60.3789,375.097,50.41596
2025/7/10 0:10,7.521803,60.3219765,375.15704,50.3709
2025/7/10 0:11,7.5809357,60.272903,375.15704,50.318348
2025/7/10 0:11,7.61700415,60.2365885,375.15704,50.250774
2025/7/10 0:11,7.628782,60.27094,375.697645,50.1756935
2025/7/10 0:11,7.5981111,60.4839135,378.761,50.018024
2025/7/10 0:12,7.5708757,58.3463,367.28852,49.8528425
2025/7/10 0:12,8.29003875,51.8539635,292.026885,49.706433
2025/7/10 0:12,8.31457475,47.765215,288.48306,49.6651405
2025/7/10 0:12,8.0910475,47.8152675,290.88565,47.3413665
2025/7/10 0:13,8.0059065,43.515505,297.94332,40.047205
2025/7/10 0:13,7.9313159,44.338949,310.22664,38.703243
2025/7/10 0:13,7.87390065,44.832621,322.3598,37.622068
